2025-02-06 16:59:25:385  {"uuid": "b65ec250-b108-4f42-983d-aba9ccd5a6cb", "url": "https://shushilda.com/catalog/sims-4-cc/shoes-sims4/adidas-superstar-ts4/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": null, "previous": null}
2025-02-06 16:59:25:780  {"uuid": "bca352e9-e032-444e-a9f7-377b16b0f6ef", "url": "https://www.candysims.com/snowflakeboots", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": null, "previous": {"uuid": "7df95ce9-fd13-4dfb-bdd0-241847021658", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1675093910&key=f987fc317309e21ce0fdadaaa140c47e&cid=319350", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": "snowflake boots", "previous": {"uuid": "d01de6e5-2787-47a7-a7f2-d96d1942f6be", "url": "https://www.simsfinds.com/continue?key=f987fc317309e21ce0fdadaaa140c47e", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": "snowflake boots", "previous": {"uuid": "5f176f3f-4356-4a94-9b91-c3290cc0d8b2", "url": "https://www.simsfinds.com/downloads/319350/snowflake-boots-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": "snowflake boots", "previous": null}}}}
2025-02-06 17:31:00:357  {"uuid": "3119097b-6262-4f42-a106-eadab99e19f8", "url": "https://blog.naver.com/mirosims2020/221795193223", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "644e831c-0134-4fb6-885a-6ead9cfeafbb", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1580758650&key=671954b6f264f04aa864d6f3b17f0e9e&cid=193990", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Ruby Jumpsuit MIRO", "previous": {"uuid": "ae7e59d7-7de7-49f8-8f69-e11f9ed66463", "url": "https://www.simsfinds.com/continue?key=671954b6f264f04aa864d6f3b17f0e9e", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Ruby Jumpsuit MIRO", "previous": {"uuid": "e8993f05-8437-45cb-8308-3122eb37398a", "url": "https://www.simsfinds.com/downloads/193990/ruby-jumpsuit-miro-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Ruby Jumpsuit MIRO", "previous": null}}}}
2025-02-06 17:31:00:358  {"uuid": "f995abde-74a6-4ed0-b4f5-0612e8de5288", "url": "https://ruchellsims-cc.blogspot.com/2022/05/coco-high-heels-free.html", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "0229d442-1702-45ca-9fd5-f7824962e824", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1651724102&key=ac276b840c9061205c9cebd231dd415d&cid=305012", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "COCO HIGH HEELS - FREE", "previous": {"uuid": "d109287d-9f9f-48d2-a95b-63426988ef26", "url": "https://www.simsfinds.com/continue?key=ac276b840c9061205c9cebd231dd415d", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "COCO HIGH HEELS - FREE", "previous": {"uuid": "6c57d14d-225c-477b-b34b-0e8948893718", "url": "https://www.simsfinds.com/downloads/305012/coco-high-heels-free-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "COCO HIGH HEELS - FREE", "previous": null}}}}
2025-02-06 17:31:00:363  {"uuid": "0009810f-e75d-45bf-833d-674b2608e6c1", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/cc-eliya-hms/id/1511984/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "92d475e0-6b93-4490-952c-4d1c852c1beb", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1603812845&key=2490d9492965df1d3b0e767d2cec9971&cid=248979", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Eliya HMS", "previous": {"uuid": "e4b8f046-260d-4a41-8a68-c8b221c3db8a", "url": "https://www.simsfinds.com/continue?key=2490d9492965df1d3b0e767d2cec9971", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Eliya HMS", "previous": {"uuid": "582fd2c7-9521-41f8-9245-8d1e914cafd2", "url": "https://www.simsfinds.com/downloads/248979/carvin-captoor-s-cc-eliya-hms-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Eliya HMS", "previous": null}}}}
2025-02-06 17:31:00:363  {"uuid": "74e62b93-bcc9-40ee-9d87-4c014978d151", "url": "https://www.nitropanic.net/2025/01/all-patreon-member-special-gift.html", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "21fc6713-ce22-4791-a22a-439874da5a97", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1738281040&key=37d910a0cc90d37dc722c86ab5587ee7&cid=361758", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Nitropanic_Rucci Jumpsuit", "previous": {"uuid": "2352545d-5580-4920-ae20-618a3fa4fb76", "url": "https://www.simsfinds.com/continue?key=37d910a0cc90d37dc722c86ab5587ee7", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Nitropanic_Rucci Jumpsuit", "previous": {"uuid": "e7041747-ca63-40ca-b375-2046c1b6d985", "url": "https://www.simsfinds.com/downloads/361758/nitropanic-rucci-jumpsuit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Nitropanic_Rucci Jumpsuit", "previous": null}}}}
2025-02-06 17:31:00:364  {"uuid": "7a2aaae6-2758-4cf3-8f93-f2683de058c1", "url": "https://ruchellsims-cc.blogspot.com/2022/01/naked-wander-heels-free.html", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "d7d53386-1ed0-464e-9f9f-f5614911bc63", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1642917164&key=5a50f4bafdd3d060c9871778ae90375e&cid=298542", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "NAKED WANDER HEELS - FREE", "previous": {"uuid": "1f935868-5049-4ee9-aa1d-a5003cfd6ce1", "url": "https://www.simsfinds.com/continue?key=5a50f4bafdd3d060c9871778ae90375e", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "NAKED WANDER HEELS - FREE", "previous": {"uuid": "30ee8f11-9352-4cc8-8f7a-26e1d51684a5", "url": "https://www.simsfinds.com/downloads/298542/naked-wander-heels-free-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "NAKED WANDER HEELS - FREE", "previous": null}}}}
2025-02-06 17:31:00:364  {"uuid": "b54d5b70-946a-4ae1-8f39-af79fd95aa85", "url": "https://shushilda.com/catalog/sims-4-cc/shoes-sims4/fila-disruptor-sneakers/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "913b29e6-6f3d-4466-9781-8c5be8ca21ae", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1646235567&key=3bb27a9f2bafd9361a0d9fbd3d6c4a31&cid=301359", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "TS4 Fila disruptor", "previous": {"uuid": "a59622fe-39bc-42d2-9b87-e0ca07156259", "url": "https://www.simsfinds.com/continue?key=3bb27a9f2bafd9361a0d9fbd3d6c4a31", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "TS4 Fila disruptor", "previous": {"uuid": "9e82539f-99b3-44dc-94f7-3d0839dbf6ce", "url": "https://www.simsfinds.com/downloads/301359/ts4-fila-disruptor-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "TS4 Fila disruptor", "previous": null}}}}
2025-02-06 17:31:00:364  {"uuid": "1476cdb2-25f5-46a0-ba6d-85a296026ed1", "url": "https://gorillax3sims4.blogspot.com/2019/06/simple-romper.html", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "00f7928d-faec-4a31-85ff-972b10b9caeb", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1628429941&key=a4e13b97a5d161569a8510cbb5c97023&cid=158317", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Simple Romper by gorillax3", "previous": {"uuid": "47d4eb7b-6e9f-45fd-a207-79c09286df10", "url": "https://www.simsfinds.com/continue?key=a4e13b97a5d161569a8510cbb5c97023", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Simple Romper by gorillax3", "previous": {"uuid": "19468367-018f-43a1-98f4-1d41e192dd2c", "url": "https://www.simsfinds.com/downloads/158317/simple-romper-by-gorillax3-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Simple Romper by gorillax3", "previous": null}}}}
2025-02-06 17:31:00:368  {"uuid": "b033d923-4aff-49bf-bcf4-961d4bfa1bb5", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/jumpsuit-bd187/id/1477683/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "4cfe0a47-5469-4e62-97ce-2381b66be624", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1581451373&key=0f9f66b669613034e0a6300cea49fd28&cid=195560", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Jumpsuit BD187", "previous": {"uuid": "721063fd-e01f-49b6-8839-19c33a2916fc", "url": "https://www.simsfinds.com/continue?key=0f9f66b669613034e0a6300cea49fd28", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Jumpsuit BD187", "previous": {"uuid": "1035d655-d3df-41c6-861f-3243540a28f6", "url": "https://www.simsfinds.com/downloads/195560/jumpsuit-bd187-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Jumpsuit BD187", "previous": null}}}}
2025-02-06 17:31:00:376  {"uuid": "f99d1e1c-cfc7-420b-8cea-54b2ec52b561", "url": "https://www.thesimsresource.com/members/_ironik_/downloads/details/category/sims4-clothing-female-elder-everyday/title/high-street-shopping-evie-hoodie-jumpsuit/id/1723379/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "70e455b6-0e09-4a8d-acc0-e5ea322d47d4", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1732439819&key=433f9c00afdadf7c764ce2b1f0c3c710&cid=356488", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Evie Hoodie Jumpsuit by _ironik_", "previous": {"uuid": "c925d572-3575-4a9b-91fe-5883360c402e", "url": "https://www.simsfinds.com/continue?key=433f9c00afdadf7c764ce2b1f0c3c710", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Evie Hoodie Jumpsuit by _ironik_", "previous": {"uuid": "5a6d76e6-3f93-4592-bf1c-8c8a067eb4c1", "url": "https://www.simsfinds.com/downloads/356488/evie-hoodie-jumpsuit-by-ironik-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Evie Hoodie Jumpsuit by _ironik_", "previous": null}}}}
2025-02-06 17:31:00:377  {"uuid": "66e36161-15c9-47b8-a7c1-3f1906b272e2", "url": "https://starbranch.tumblr.com/post/176460960518/hey-guys-this-is-my-version-of-ridgeports", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "2da18e77-827a-4d2e-8641-88fc6123aa5d", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1533062219&key=f4ef4d8226b0d07867f5503f1e48a7ea&cid=121944", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "@ridgeport\u2018s Eclair Romper by starbranch", "previous": {"uuid": "d992709a-6235-45c1-b94c-8f12186ebcb9", "url": "https://www.simsfinds.com/continue?key=f4ef4d8226b0d07867f5503f1e48a7ea", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "@ridgeport\u2018s Eclair Romper by starbranch", "previous": {"uuid": "15c7d5c5-506c-423e-86cc-57085c9c0e17", "url": "https://www.simsfinds.com/downloads/121944/ridgeport-s-eclair-romper-by-starbranch-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "@ridgeport\u2018s Eclair Romper by starbranch", "previous": null}}}}
